No.,Name,Points,Errors,In-Play,Attempts,%
 1,ANDERSON Matthew,20.0,4,8,32,50.0
 3,SANDER Taylor,16.0,4,11,31,38.71
 8,DEFALCO Torey,19.0,7,13,39,30.77
6,STAHL Mitchell,6.0,2,4,12,
12,HOLT Maxwell,7.0,1,3,11,
20,SMITH David,2.0,,, 2,
11,CHRISTENSON Micah,,, 1,1,
5,ENSING Kyle,,,, ,
7,SHOJI Kawika,,,, ,
17,JAESCHKE Thomas,,,, ,
18,MUAGUTUTIA Garrett,,,, ,
22,SHOJI Erik,,,, ,
ls,,70.0,18,40,128,40.63
