No.,Name,Points,Errors,In-Play,Total Attempts,by Set
15,SBERTOLI Riccardo,2.0,1,1,4,0.67
14,GALASSI Gianluca,1.0,3,4,8,0.33
17,ANZANI Simone,, 7,2,9,0.0
18,MICHIELETTO Alessandro,, 3,2,5,0.0
 5,JUANTORENA Osmany,, 2,2,4,0.0
 9,ZAYTSEV Ivan,, 3,1,4,0.0
11,PIANO Matteo,, 2,1,3,0.0
2,KOVAR Jiri,,,, ,
4,VETTORI Luca,,,, ,
6,GIANNELLI Simone,,,, ,
13,COLACI Massimo,,,, ,
19,LAVIA Daniele,,,, ,
ls,,3.0,21,13,37,1.0
