No.,Name,Excellents,Errors,In-Play,Attempts,%
17,HOSS Thales,10,, 2,12,83.33
18,SOUZA Ricardo Lucarelli,12,, 3,15,80.0
9,LEAL HIDALGO Yoandy,5,1.0,4,10,
14,CORREIA De SOUZA Douglas,5,,, 5,
5,BORGES ALMEIDA SILVA Mauricio,2,, 1,3,
1,REZENDE Bruno Mossa,,, 1,1,
6,GIL KRELING Fernando,,,, ,
8,De SOUZA Wallace,,,, ,
12,SANTOS Isac,,,, ,
13,De SOUZA Mauricio Luiz,,,, ,
16,SAATKAMP Lucas,,,, ,
21,SOUZA Alan,,,, ,
ls,,34,1.0,11,46,73.91
