No.,Name,Points,Errors,In-Play,Attempts,%
17,MIKHAYLOV Maxim,12.0,2,5,19,52.63
 7,VOLKOV Dmitry,6.0,3,7,16,18.75
18,KLIUKA Egor,6.0,5,5,16,6.25
9,IAKOVLEV Ivan,5.0,, 2,7,
24,KOBZAR Igor,4.0,, 1,5,
15,POLETAEV Victor,4.0,1,, 5,
4,VOLVICH Artem,3.0,,, 3,
1,PODLESNYKH Yaroslav,2.0,,, 2,
20,KURKAEV Ilyas,, 1,1,2,
11,PANKOV Pavel,,, 1,1,
10,BOGDAN Denis,,,, ,
27,GOLUBEV Valentin,,,, ,
ls,,42.0,12,22,76,39.47
