No.,Name,Points,Errors,In-Play,Attempts,%
 4,PATRY Jean,19.0,1,14,34,52.94
 9,NGAPETH Earvin,16.0,6,6,28,35.71
17,CLEVENOT Trevor,14.0,6,12,32,25.0
14,le GOFF Nicolas,6.0,, 5,11,
1,CHINENYEZE Barthelemy,7.0,1,2,10,
12,BOYER Stephen,2.0,, 1,3,
11,BRIZARD Antoine,1.0,, 1,2,
2,GREBENNIKOV Jenia,,,, ,
6,TONIUTTI Benjamin,,,, ,
7,TILLIE Kevin,,,, ,
16,BULTOR Daryl,,,, ,
19,LOUATI Yacine,,,, ,
ls,,65.0,14,41,120,42.5
