,Avg.Rk No.,Name,Excellents,Errors,In-Play,Total Attempts,by Set
0,15,de CECCO Luciano,36,1.0,32,69,12.0
1, 7,CONTE Facundo,2,, 6,8,0.67
2, 9,DANANI Santiago,,, 3,3,0.0
3,11,SOLE Sebastian,,, 1,1,0.0
4,12,LIMA Bruno,,, 1,1,0.0
5,1,SANCHEZ Matias,,,, ,
6,2,PEREYRA Federico,,,, ,
7,6,POGLAJEN Cristian,,,, ,
8,8,LOSER Agustin,,,, ,
9,13,PALACIOS Ezequiel,,,, ,
10,17,MENDEZ Nicolas,,,, ,
11,18,RAMOS Martin,,,, ,
12,ls,,38,1.0,43,82,12.67
