,TotalRk No.,Name,Excellents,Errors,In-Play,Attempts,%
0,27,GOLUBEV Valentin,21,1.0,13,35,60.0
1,18,KLIUKA Egor,16,1.0,4,21,
2,7,VOLKOV Dmitry,4,2.0,7,13,
3,1,PODLESNYKH Yaroslav,3,2.0,6,11,
4,17,MIKHAYLOV Maxim,1,1.0,1,3,
5,9,IAKOVLEV Ivan,1,, 1,2,
6,20,KURKAEV Ilyas,,1.0,, 1,
7,4,VOLVICH Artem,,,, ,
8,10,BOGDAN Denis,,,, ,
9,11,PANKOV Pavel,,,, ,
10,15,POLETAEV Victor,,,, ,
11,24,KOBZAR Igor,,,, ,
12,ls,,46,8.0,32,86,53.49
