No.,Name,Points,Errors,In-Play,Attempts,%
15,BEN TARA Wassim,11.0,5,7,23,26.09
 6,BEN OTHMEN MILADI Mohamed Ali,5.0,4,9,18,5.56
2,KADHI Ahmed,6.0,, 1,7,
9,AGREBI Omar,1.0,, 5,6,
10,NAGGA Hamza,3.0,, 3,6,
7,KARAMOSLI Elyes,1.0,1,3,5,
11,MOALLA Ismail,, 4,, 4,
19,BOUGUERRA Aymen,1.0,, 2,3,
3,BEN SLIMENE Khaled,,, 1,1,
12,BEN CHEIKH Mehdi,,,, ,
13,MBAREKI Selim,,,, ,
20,HMISSI Saddem,,,, ,
ls,,28.0,14,31,73,19.18
