,Avg.Rk No.,Name,Excellents,Errors,In-Play,Total Attempts,by Set
0,15,de CECCO Luciano,51,, 52,103,10.2
1, 1,SANCHEZ Matias,5,1.0,4,10,1.0
2, 7,CONTE Facundo,3,, 2,5,0.6
3, 9,DANANI Santiago,2,, 2,4,0.4
4,11,SOLE Sebastian,2,, 1,3,0.4
5, 8,LOSER Agustin,,, 1,1,0.0
6,12,LIMA Bruno,,, 1,1,0.0
7,2,PEREYRA Federico,,,, ,
8,6,POGLAJEN Cristian,,,, ,
9,13,PALACIOS Ezequiel,,,, ,
10,17,MENDEZ Nicolas,,,, ,
11,18,RAMOS Martin,,,, ,
12,ls,,63,1.0,63,127,12.6
