,TotalRk No.,Name,Points,Errors,In-Play,Attempts,%
0, 4,PATRY Jean,7.0,2,4,13,38.46
1,12,BOYER Stephen,6.0,3,3,12,25.0
2, 9,NGAPETH Earvin,8.0,5,3,16,18.75
3,7,TILLIE Kevin,2.0,1,7,10,
4,1,CHINENYEZE Barthelemy,5.0,, 2,7,
5,17,CLEVENOT Trevor,3.0,1,1,5,
6,14,le GOFF Nicolas,2.0,3,, 5,
7,11,BRIZARD Antoine,, 1,, 1,
8,2,GREBENNIKOV Jenia,,,, ,
9,6,TONIUTTI Benjamin,,,, ,
10,16,BULTOR Daryl,,,, ,
11,19,LOUATI Yacine,,,, ,
12,ls,,33.0,16,20,69,24.64
