,Avg.Rk No.,Name,Excellents,Errors,In-Play,Total Attempts,by Set
0, 4,HOAG Nicholas,8,6.0,1,15,1.6
1, 1,SANDERS Tyler,6,6.0,3,15,1.2
2, 2,PERRIN John Gordon,6,7.0,, 13,1.2
3,12,van BERKEL Lucas,6,2.0,, 8,1.2
4,19,BANN Blair Cameron,3,8.0,1,12,0.6
5,10,SCLATER Ryan Joseph,3,2.0,, 5,0.6
6,17,VIGRASS Graham,2,1.0,, 3,0.4
7,13,VERNONEVANS Sharone,1,2.0,, 3,0.2
8, 7,MAAR Stephen Timothy,1,,, 1,0.2
9,20,SZWARC Arthur,1,,, 1,0.2
10,3,MARSHALL Steven,,,, ,
11,9,BLANKENAU Jay,,,, ,
12,ls,,37,34.0,5,76,7.4
