,Avg.Rk No.,Name,Excellents,Errors,In-Play,Total Attempts,by Set
0,11,PANKOV Pavel,40,1.0,30,71,8.0
1,24,KOBZAR Igor,16,, 13,29,3.2
2,18,KLIUKA Egor,1,, 6,7,0.2
3, 7,VOLKOV Dmitry,1,, 1,2,0.2
4, 1,PODLESNYKH Yaroslav,1,,, 1,0.2
5,27,GOLUBEV Valentin,,, 3,3,0.0
6,17,MIKHAYLOV Maxim,,, 1,1,0.0
7,4,VOLVICH Artem,,,, ,
8,9,IAKOVLEV Ivan,,,, ,
9,10,BOGDAN Denis,,,, ,
10,15,POLETAEV Victor,,,, ,
11,20,KURKAEV Ilyas,,,, ,
12,ls,,59,1.0,54,114,11.8
