No.,Name,Points,Errors,In-Play,Total Attempts,by Set
 7,VALENCIA GONZALEZ Edson Alberto,3.0,3,6,12,1.0
11,VERDI Jose,1.0,4,1,6,0.33
19,RIVAS QUIJADA Willner Enrique,1.0,3,1,5,0.33
15,ARIAS GUZMAN Luis Antonio,, 2,, 2,0.0
 1,VELAZQUEZ ESCALANTE Armando Fernan.,, 1,, 1,0.0
 6,ORAMAS BRIZUELA Robert Manuel,, 1,, 1,0.0
 9,CARRASCO ANGULO Jose Manuel,, 1,, 1,0.0
17,FAYOLA HURTADO Ronald Daniel,, 1,, 1,0.0
3,GONZALEZ Fernando,,,, ,
4,MATA Hector,,,, ,
5,RODRIGUEZ GONZALEZ Emerson Alexand.,,,, ,
14,CANELO SANCHEZ Eliecer Alfonso,,,, ,
ls,,5.0,16,8,29,1.67
