No.,Name,Excellents,Errors,In-Play,Attempts,%
 2,PERRIN John Gordon,14,, 9,23,60.87
19,BANN Blair Cameron,12,1.0,11,24,50.0
 4,HOAG Nicholas,15,5.0,12,32,46.88
13,VERNONEVANS Sharone,1,, 1,2,
17,VIGRASS Graham,2,,, 2,
1,SANDERS Tyler,,, 1,1,
7,MAAR Stephen Timothy,,1.0,, 1,
3,MARSHALL Steven,,,, ,
9,BLANKENAU Jay,,,, ,
10,SCLATER Ryan Joseph,,,, ,
12,van BERKEL Lucas,,,, ,
20,SZWARC Arthur,,,, ,
ls,,44,7.0,34,85,51.76
