,TotalRk No.,Name,Excellents,Errors,In-Play,Attempts,%
0,22,SHOJI Erik,16,4.0,8,28,57.14
1, 3,SANDER Taylor,17,2.0,13,32,53.13
2, 8,DEFALCO Torey,13,1.0,12,26,50.0
3,1,ANDERSON Matthew,2,, 3,5,
4,18,MUAGUTUTIA Garrett,3,,, 3,
5,12,HOLT Maxwell,1,,, 1,
6,5,ENSING Kyle,,,, ,
7,6,STAHL Mitchell,,,, ,
8,7,SHOJI Kawika,,,, ,
9,11,CHRISTENSON Micah,,,, ,
10,17,JAESCHKE Thomas,,,, ,
11,20,SMITH David,,,, ,
12,ls,,52,7.0,36,95,54.74
