No.,Name,Points,Errors,In-Play,Total Attempts,by Set
18,SOUZA Ricardo Lucarelli,1.0,4,22,27,0.2
 8,De SOUZA Wallace,1.0,4,16,21,0.2
 1,REZENDE Bruno Mossa,, 4,18,22,0.0
16,SAATKAMP Lucas,, 5,14,19,0.0
 9,LEAL HIDALGO Yoandy,, 1,16,17,0.0
13,De SOUZA Mauricio Luiz,, 4,12,16,0.0
14,CORREIA De SOUZA Douglas,,, 3,3,0.0
12,SANTOS Isac,,, 2,2,0.0
5,BORGES ALMEIDA SILVA Mauricio,,,, ,
6,GIL KRELING Fernando,,,, ,
17,HOSS Thales,,,, ,
21,SOUZA Alan,,,, ,
ls,,2.0,22,103,127,0.4
