No.,Name,Points,Errors,In-Play,Attempts,%
17,CLEVENOT Trevor,14.0,3,2,19,57.89
 4,PATRY Jean,11.0,, 10,21,52.38
 9,NGAPETH Earvin,12.0,4,12,28,28.57
1,CHINENYEZE Barthelemy,2.0,1,2,5,
14,le GOFF Nicolas,2.0,1,1,4,
11,BRIZARD Antoine,,, 2,2,
12,BOYER Stephen,, 1,, 1,
2,GREBENNIKOV Jenia,,,, ,
6,TONIUTTI Benjamin,,,, ,
7,TILLIE Kevin,,,, ,
16,BULTOR Daryl,,,, ,
19,LOUATI Yacine,,,, ,
ls,,41.0,10,29,80,38.75
