No.,Name,Points,Errors,In-Play,Total Attempts,by Set
 7,VOLKOV Dmitry,3.0,2,3,8,0.75
 9,IAKOVLEV Ivan,2.0,10,8,20,0.5
 4,VOLVICH Artem,2.0,5,6,13,0.5
17,MIKHAYLOV Maxim,2.0,1,1,4,0.5
20,KURKAEV Ilyas,1.0,2,1,4,0.25
18,KLIUKA Egor,1.0,1,1,3,0.25
24,KOBZAR Igor,, 3,2,5,0.0
 1,PODLESNYKH Yaroslav,,, 2,2,0.0
10,BOGDAN Denis,,, 1,1,0.0
11,PANKOV Pavel,,, 1,1,0.0
15,POLETAEV Victor,,,, ,
27,GOLUBEV Valentin,,,, ,
ls,,11.0,24,26,61,2.75
