,Avg.Rk No.,Name,Excellents,Errors,In-Play,Total Attempts,by Set
0, 7,CONTE Facundo,8,5.0,6,19,1.6
1,13,PALACIOS Ezequiel,7,8.0,5,20,1.4
2, 9,DANANI Santiago,7,2.0,6,15,1.4
3,15,de CECCO Luciano,3,2.0,1,6,0.6
4, 8,LOSER Agustin,2,3.0,, 5,0.4
5,12,LIMA Bruno,1,4.0,1,6,0.2
6,11,SOLE Sebastian,,3.0,2,5,0.0
7,1,SANCHEZ Matias,,,, ,
8,2,PEREYRA Federico,,,, ,
9,6,POGLAJEN Cristian,,,, ,
10,17,MENDEZ Nicolas,,,, ,
11,18,RAMOS Martin,,,, ,
12,ls,,28,27.0,21,76,5.6
