,TotalRk No.,Name,Excellents,Errors,In-Play,Attempts,%
0, 9,NGAPETH Earvin,26,3.0,8,37,70.27
1,17,CLEVENOT Trevor,18,2.0,6,26,69.23
2, 2,GREBENNIKOV Jenia,15,1.0,6,22,68.18
3,1,CHINENYEZE Barthelemy,,,, ,
4,4,PATRY Jean,,,, ,
5,6,TONIUTTI Benjamin,,,, ,
6,7,TILLIE Kevin,,,, ,
7,11,BRIZARD Antoine,,,, ,
8,12,BOYER Stephen,,,, ,
9,14,le GOFF Nicolas,,,, ,
10,16,BULTOR Daryl,,,, ,
11,19,LOUATI Yacine,,,, ,
12,ls,,59,6.0,20,85,69.41
