No.,Name,Excellents,Errors,In-Play,Attempts,%
 2,EBADIPOUR GHARA H. Milad,40,4.0,13,57,70.18
17,SALEHI Meisam,8,, 8,16,
19,MARANDI Mahdi,12,2.0,1,15,
6,MOUSAVI ERAGHI Seyed Mohammad,1,, 1,2,
15,MOJARAD Aliasghar,1,,, 1,
21,SALEHI Arman,,, 1,1,
24,KARIMISOUCHELMAEI Javad,,1.0,, 1,
4,MAROUFLAKRANI Mir Saeid,,,, ,
9,GHOLAMI Masoud,,,, ,
10,GHAFOUR Amir,,,, ,
11,KAZEMI Saber,,,, ,
12,SHARIFI Morteza,,,, ,
ls,,62,7.0,24,93,66.67
