,Avg.Rk No.,Name,Excellents,Errors,In-Play,Total Attempts,by Set
0,24,KOBZAR Igor,37,, 33,70,12.33
1,27,GOLUBEV Valentin,3,, 2,5,1.0
2, 7,VOLKOV Dmitry,1,, 3,4,0.33
3,17,MIKHAYLOV Maxim,,, 2,2,0.0
4, 9,IAKOVLEV Ivan,,, 1,1,0.0
5,18,KLIUKA Egor,,, 1,1,0.0
6,1,PODLESNYKH Yaroslav,,,, ,
7,4,VOLVICH Artem,,,, ,
8,10,BOGDAN Denis,,,, ,
9,11,PANKOV Pavel,,,, ,
10,15,POLETAEV Victor,,,, ,
11,20,KURKAEV Ilyas,,,, ,
12,ls,,41,,42,83,13.67
