,TotalRk No.,Name,Points,Errors,In-Play,Attempts,%
0,17,MIKHAYLOV Maxim,20.0,4,9,33,48.48
1,18,KLIUKA Egor,14.0,4,11,29,34.48
2,7,VOLKOV Dmitry,6.0,1,9,16,
3,9,IAKOVLEV Ivan,9.0,1,3,13,
4,1,PODLESNYKH Yaroslav,6.0,3,4,13,
5,4,VOLVICH Artem,2.0,1,2,5,
6,20,KURKAEV Ilyas,1.0,2,, 3,
7,24,KOBZAR Igor,, 1,1,2,
8,10,BOGDAN Denis,,,, ,
9,11,PANKOV Pavel,,,, ,
10,15,POLETAEV Victor,,,, ,
11,27,GOLUBEV Valentin,,,, ,
12,ls,,58.0,17,39,114,35.96
