No.,Name,Points,Errors,In-Play,Total Attempts,by Set
18,KLIUKA Egor,2.0,4,10,16,0.5
24,KOBZAR Igor,1.0,1,16,18,0.25
17,MIKHAYLOV Maxim,, 4,12,16,0.0
 7,VOLKOV Dmitry,, 3,10,13,0.0
 9,IAKOVLEV Ivan,, 3,10,13,0.0
 4,VOLVICH Artem,, 1,9,10,0.0
11,PANKOV Pavel,, 1,7,8,0.0
 1,PODLESNYKH Yaroslav,, 1,, 1,0.0
10,BOGDAN Denis,,,, ,
15,POLETAEV Victor,,,, ,
20,KURKAEV Ilyas,,,, ,
27,GOLUBEV Valentin,,,, ,
ls,,3.0,18,74,95,0.75
