,Avg.Rk No.,Name,Excellents,Errors,In-Play,Total Attempts,by Set
0,19,MARANDI Mahdi,7,8.0,, 15,1.75
1, 2,EBADIPOUR GHARA H. Milad,6,7.0,3,16,1.5
2, 6,MOUSAVI ERAGHI Seyed Mohammad,3,1.0,, 4,0.75
3,17,SALEHI Meisam,2,5.0,3,10,0.5
4,10,GHAFOUR Amir,1,2.0,4,7,0.25
5, 4,MAROUFLAKRANI Mir Saeid,1,3.0,3,7,0.25
6,24,KARIMISOUCHELMAEI Javad,1,4.0,2,7,0.25
7,21,SALEHI Arman,1,3.0,1,5,0.25
8,11,KAZEMI Saber,1,2.0,, 3,0.25
9,15,MOJARAD Aliasghar,,1.0,1,2,0.0
10,9,GHOLAMI Masoud,,,-, ,
11,12,SHARIFI Morteza,,,-, ,
12,ls,,23,36.0,17,76,5.75
