No.,Name,Points,Errors,In-Play,Total Attempts,by Set
 8,LOSER Agustin,7.0,7,9,23,1.4
11,SOLE Sebastian,3.0,10,3,16,0.6
13,PALACIOS Ezequiel,3.0,3,1,7,0.6
15,de CECCO Luciano,2.0,1,3,6,0.4
 7,CONTE Facundo,1.0,4,5,10,0.2
12,LIMA Bruno,1.0,2,5,8,0.2
 6,POGLAJEN Cristian,, 1,, 1,0.0
1,SANCHEZ Matias,,,, ,
2,PEREYRA Federico,,,, ,
9,DANANI Santiago,,,, ,
17,MENDEZ Nicolas,,,, ,
18,RAMOS Martin,,,, ,
ls,,17.0,28,26,71,3.4
