No.,Name,Excellents,Errors,In-Play,Total Attempts,by Set
 1,SANDERS Tyler,31,, 23,54,10.33
19,BANN Blair Cameron,4,, 3,7,1.33
 2,PERRIN John Gordon,3,,, 3,1.0
 9,BLANKENAU Jay,1,,, 1,0.33
12,van BERKEL Lucas,1,,, 1,0.33
10,SCLATER Ryan Joseph,,, 2,2,0.0
 4,HOAG Nicholas,,, 1,1,0.0
17,VIGRASS Graham,,, 1,1,0.0
3,MARSHALL Steven,,,, ,
7,MAAR Stephen Timothy,,,, ,
13,VERNONEVANS Sharone,,,, ,
20,SZWARC Arthur,,,, ,
ls,,40,,30,70,13.33
