Name,SVP,SVE,SVI,SVA,SV/S,BP,BE,BI,BA,BP/S,AP,AE,AI,AA,AEff%,Rx,RE,RI,RA,RSucc%,STx,STE,STI,STA,STx/S,No.,Dx,DE,DI,DA,Dx/S
LEE Soyoung,,,4.0,4.0,0.0,,,1.0,1.0,0.0,,3.0,2.0,5.0,,2.0,,1.0,3.0,,,,,,, 1,,1.0,,1.0,0.0
YEUM Hye Seon,,,7.0,7.0,0.0,,1.0,,1.0,0.0,,,,,,,,,,,20.0,,32.0,52.0,6.67, 3,3.0,1.0,1.0,5.0,1.0
KIM Heejin,,,7.0,7.0,0.0,,4.0,4.0,8.0,0.0,5.0,4.0,17.0,26.0,3.85,,,,,,,,1.0,1.0,0.0, 4,2.0,3.0,4.0,9.0,0.67
AN Hyejin,,,4.0,4.0,0.0,,,,,,,,1.0,1.0,,,,,,,6.0,,19.0,25.0,2.0, 7,3.0,1.0,2.0,6.0,1.0
KIM Yeon Koung,,1.0,9.0,10.0,0.0,,1.0,2.0,3.0,0.0,12.0,2.0,5.0,19.0,52.63,12.0,,6.0,18.0,66.67,,,3.0,3.0,0.0,10,4.0,6.0,6.0,16.0,1.33
KIM Su Ji,,1.0,8.0,9.0,0.0,,5.0,2.0,7.0,0.0,5.0,,6.0,11.0,,,,1.0,1.0,,,,,,,11,,,,,
PARK Jeongah,,1.0,2.0,3.0,0.0,1.0,2.0,2.0,5.0,0.33,8.0,7.0,12.0,27.0,3.7,12.0,,21.0,33.0,36.36,,,,,,13,3.0,7.0,3.0,13.0,1.0
YANG Hyo Jin,,1.0,6.0,7.0,0.0,2.0,8.0,6.0,16.0,0.67,2.0,1.0,,3.0,,,,,,,3.0,,1.0,4.0,1.0,14,,,1.0,1.0,0.0
JEONG Jiyun,,1.0,,1.0,0.0,,,,,,1.0,2.0,4.0,7.0,,,,,,,,,,,,16,1.0,,,1.0,0.33
PYO Seungju,,,,,,,,,,,,,,,,,,2.0,2.0,,,,,,,19,,,,,
PARK Eunjin,,,,,,,1.0,1.0,2.0,0.0,,,,,,,,,,,,,1.0,1.0,0.0,8,,,,,
OH Jiyoung,,,,,,,,,,,,,,,,8.0,1.0,2.0,11.0,,2.0,,3.0,5.0,0.67, 9,4.0,8.0,1.0,13.0,1.33
,total,5.0,47.0,52.0,0.0,3.0,22.0,18.0,43.0,1.0,33.0,19.0,47.0,99.0,14.14,34.0,1.0,33.0,68.0,50.0,31.0,,60.0,91.0,10.33,ls,20.0,27.0,18.0,65.0,6.67
