No.,Name,Dx,DE,DI,DA,Dx/S,STx,STE,STI,STA,STx/S,Rx,RE,RI,RA,RSucc%,AP,AE,AI,AA,AEff%,BP,BE,BI,BA,BP/S,SVP,SVE,SVI,SVA,SV/S
20,YAMAMOTO Tomohiro,10.0,8.0,4.0,22,2.5,,,2.0,2,0.0,14.0,,4.0,18,,,,, ,,,,, ,,,,, ,
21,TAKAHASHI Ran,9.0,7.0,, 16,2.25,2.0,,1.0,3,0.5,13.0,,11.0,24,54.17,10.0,6.0,7.0,23,17.39,,4.0,1.0,5,0.0,,3.0,16.0,19,0.0
11,NISHIDA Yuji,4.0,1.0,2.0,7,1.0,,,1.0,1,0.0,2.0,,1.0,3,,21.0,3.0,10.0,34,52.94,,4.0,2.0,6,0.0,2.0,5.0,10.0,17,0.5
14,ISHIKAWA Yuki,3.0,6.0,2.0,11,0.75,7.0,,3.0,10,1.75,11.0,1.0,13.0,25,44.0,22.0,4.0,14.0,40,45.0,,3.0,5.0,8,0.0,,4.0,8.0,12,0.0
12,SEKITA Masahiro,1.0,4.0,4.0,9,0.25,55.0,1.0,39.0,95,13.75,,,1.0,1,,2.0,,1.0,3,,,1.0,6.0,7,0.0,,3.0,9.0,12,0.0
15,RI Haku,,1.0,, 1,0.0,,,, ,,,,, ,,,,, ,,,,, ,,,,1.0,1,0.0
1,SHIMIZU Kunihiro,,,, ,,,,, ,,,,, ,,,,, ,,,,, ,,,,, ,
3,FUJII Naonobu,,,, ,,,,, ,,,,, ,,,,, ,,,,, ,,,,, ,
17,TAKANASHI Kenta,,,, ,,,,, ,,1.0,,, 1,,1.0,1.0,, 2,,,,, ,,,,, ,
19,OTSUKA Tatsunori,,,, ,,,,, ,,,,, ,,,,, ,,,,, ,,,,, ,
ls,,29.0,30.0,14.0,73,7.25,64.0,1.0,46.0,111,16.0,42.0,2.0,32.0,76,55.26,67.0,15.0,39.0,121,42.98,3.0,23.0,25.0,51,0.75,3.0,22.0,72.0,97,0.75
