Name,Points,Errors,In-Play,Total Attempts,by Set,Set,Effort,Country
BANN Blair Cameron,0.0,0.0,0.0,0.0,0.0,21,0.0,CAN
BLANKENAU Jay,2.0,4.0,1.0,7.0,0.1,21,0.14,CAN
HOAG Nicholas,5.0,9.0,12.0,26.0,0.24,21,0.57,CAN
MAAR Stephen Timothy,3.0,4.0,4.0,11.0,0.14,21,0.26,CAN
MARSHALL Steven,0.0,0.0,0.0,0.0,0.0,21,0.0,CAN
PERRIN John Gordon,7.0,17.0,11.0,35.0,0.33,21,0.68,CAN
SANDERS Tyler,1.0,5.0,10.0,16.0,0.05,21,0.31,CAN
SCLATER Ryan Joseph,1.0,6.0,9.0,16.0,0.05,21,0.29,CAN
SZWARC Arthur,1.0,6.0,5.0,12.0,0.05,21,0.2,CAN
VERNONEVANS Sharone,6.0,8.0,8.0,22.0,0.29,21,0.51,CAN
VIGRASS Graham,4.0,22.0,31.0,57.0,0.19,21,1.03,CAN
van BERKEL Lucas,14.0,30.0,25.0,69.0,0.67,21,1.4,CAN
