Name,Points,Errors,In-Play,Total Attempts,by Set,Set,Effort,Country
EBADIPOUR GHARA H. Milad,6.0,16.0,9.0,31.0,0.3,20,0.6,IRI
GHAFOUR Amir,2.0,12.0,10.0,24.0,0.1,20,0.41,IRI
GHOLAMI Masoud,3.0,2.0,5.0,10.0,0.15,20,0.29,IRI
KARIMISOUCHELMAEI Javad,1.0,1.0,8.0,10.0,0.05,20,0.26,IRI
KAZEMI Saber,1.0,2.0,4.0,7.0,0.05,20,0.16,IRI
MARANDI Mahdi,0.0,0.0,1.0,1.0,0.0,20,0.02,IRI
MAROUFLAKRANI Mir Saeid,2.0,7.0,11.0,20.0,0.1,20,0.41,IRI
MOJARAD Aliasghar,9.0,28.0,25.0,62.0,0.45,20,1.22,IRI
MOUSAVI ERAGHI Seyed Mohammad,12.0,20.0,21.0,53.0,0.6,20,1.23,IRI
SALEHI Arman,0.0,0.0,1.0,1.0,0.0,20,0.02,IRI
SALEHI Meisam,7.0,17.0,12.0,36.0,0.35,20,0.74,IRI
SHARIFI Morteza,1.0,1.0,2.0,4.0,0.05,20,0.11,IRI
