Name,Points,Errors,In-Play,Total Attempts,by Set,Set,Effort,Country
BOGDAN Denis,0.0,0.0,1.0,1.0,0.0,30,0.02,ROC
GOLUBEV Valentin,0.0,1.0,0.0,1.0,0.0,30,0.0,ROC
IAKOVLEV Ivan,21.0,64.0,49.0,134.0,0.7,30,1.73,ROC
KLIUKA Egor,6.0,18.0,8.0,32.0,0.2,30,0.39,ROC
KOBZAR Igor,2.0,12.0,19.0,33.0,0.07,30,0.42,ROC
KURKAEV Ilyas,2.0,15.0,8.0,25.0,0.07,30,0.25,ROC
MIKHAYLOV Maxim,14.0,17.0,21.0,52.0,0.47,30,0.87,ROC
PANKOV Pavel,2.0,5.0,9.0,16.0,0.07,30,0.23,ROC
PODLESNYKH Yaroslav,1.0,3.0,4.0,8.0,0.03,30,0.11,ROC
POLETAEV Victor,0.0,2.0,0.0,2.0,0.0,30,0.01,ROC
VOLKOV Dmitry,18.0,16.0,24.0,58.0,0.6,30,1.05,ROC
VOLVICH Artem,11.0,21.0,39.0,71.0,0.37,30,1.09,ROC
