Name,SVP,SVE,SVI,SVA,SV/S,BP,BE,BI,BA,BP/S,AP,AE,AI,AA,AEff%,Rx,RE,RI,RA,RSucc%,STx,STE,STI,STA,STx/S,No.,Dx,DE,DI,DA,Dx/S
KACZMAREK Lukasz,,1.0,9.0,10.0,0.0,1.0,1.0,,2.0,0.25,6.0,3.0,7.0,16.0,18.75,,,,,,,,1.0,1.0,0.0, 5,2.0,4.0,1.0,7.0,0.5
KUREK Bartosz,,1.0,4.0,5.0,0.0,,1.0,,1.0,0.0,1.0,,2.0,3.0,,,,,,,,,,,, 6,1.0,,,1.0,0.25
NOWAKOWSKI Piotr,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,
DRZYZGA Fabian,1.0,5.0,7.0,13.0,0.25,1.0,6.0,1.0,8.0,0.25,1.0,,,1.0,,,,1.0,1.0,,42.0,,27.0,69.0,10.5,11,4.0,4.0,,8.0,1.0
LOMACZ Grzegorz,,,,,,,,,,,,,,,,,,,,,5.0,,1.0,6.0,1.25,12,,,,,
KUBIAK Michal,1.0,3.0,9.0,13.0,0.25,,2.0,3.0,5.0,0.0,8.0,,3.0,11.0,,16.0,1.0,5.0,22.0,72.73,1.0,,2.0,3.0,0.25,13,2.0,3.0,2.0,7.0,0.5
SLIWKA Aleksander,,,,,,,,,,,,,,,,,,,,,,,,,,14,,,,,
KOCHANOWSKI Jakub,1.0,3.0,11.0,15.0,0.25,1.0,1.0,4.0,6.0,0.25,9.0,2.0,2.0,13.0,53.85,,,,,,1.0,,,1.0,0.25,15,,1.0,,1.0,0.0
SEMENIUK Kamil,6.0,1.0,16.0,23.0,1.5,,3.0,1.0,4.0,0.0,18.0,2.0,8.0,28.0,57.14,8.0,1.0,5.0,14.0,57.14,,,,,,16,11.0,1.0,,12.0,2.75
ZATORSKI Pawel,,,,,,,,1.0,1.0,0.0,,,,,,11.0,2.0,3.0,16.0,68.75,,,,,,17,11.0,5.0,2.0,18.0,2.75
BIENIEK Mateusz,2.0,2.0,9.0,13.0,0.5,2.0,5.0,4.0,11.0,0.5,10.0,2.0,2.0,14.0,57.14,,,1.0,1.0,,,,,,,20,,1.0,1.0,2.0,0.0
LEON VENERO Wilfredo,,,,,,,,,,,,,,,,,,,,,,,,,,9,,,,,
,total,16.0,65.0,92.0,2.75,5.0,19.0,14.0,38.0,1.25,53.0,9.0,24.0,86.0,51.16,35.0,4.0,15.0,54.0,64.81,49.0,,31.0,80.0,12.25,ls,31.0,19.0,6.0,56.0,7.75
