Name,SVP,SVE,SVI,SVA,SV/S,BP,BE,BI,BA,BP/S,AP,AE,AI,AA,AEff%,Rx,RE,RI,RA,RSucc%,STx,STE,STI,STA,STx/S,No.,Dx,DE,DI,DA,Dx/S
CHINENYEZE Barthelemy,,,16.0,16.0,0.0,2.0,9.0,4.0,15.0,0.4,7.0,1.0,2.0,10.0,,,,,,,1.0,,,1.0,0.2, 1,1.0,2.0,1.0,4.0,0.2
PATRY Jean,,3.0,11.0,14.0,0.0,2.0,8.0,1.0,11.0,0.4,19.0,1.0,14.0,34.0,52.94,,,,,,,,,,, 4,3.0,4.0,1.0,8.0,0.6
TONIUTTI Benjamin,,,3.0,3.0,0.0,,,,,,,,,,,,,,,,6.0,,10.0,16.0,1.2,6,,,,,
TILLIE Kevin,,,3.0,3.0,0.0,,,,,,,,,,,,,,,,,,,,, 7,,1.0,,1.0,0.0
NGAPETH Earvin,,4.0,12.0,16.0,0.0,1.0,6.0,2.0,9.0,0.2,16.0,6.0,6.0,28.0,35.71,17.0,,16.0,33.0,51.52,1.0,,1.0,2.0,0.2, 9,6.0,5.0,,11.0,1.2
BRIZARD Antoine,2.0,5.0,11.0,18.0,0.4,4.0,4.0,5.0,13.0,0.8,1.0,,1.0,2.0,,,,,,,51.0,,34.0,85.0,10.2,11,3.0,3.0,1.0,7.0,0.6
BOYER Stephen,,1.0,1.0,2.0,0.0,,3.0,,3.0,0.0,2.0,,1.0,3.0,,,,,,,,,,,,12,,,,,
le GOFF Nicolas,,,10.0,10.0,0.0,5.0,12.0,11.0,28.0,1.0,6.0,,5.0,11.0,,1.0,,,1.0,,,,,,,14,2.0,,1.0,3.0,0.4
BULTOR Daryl,,,,,,,,,,,,,,,,,,,,,,,,,,16,,,,,
CLEVENOT Trevor,,2.0,17.0,19.0,0.0,2.0,3.0,2.0,7.0,0.4,14.0,6.0,12.0,32.0,25.0,15.0,1.0,9.0,25.0,60.0,1.0,,3.0,4.0,0.2,17,5.0,2.0,1.0,8.0,1.0
LOUATI Yacine,,1.0,4.0,5.0,0.0,,,,,,,,,,,,,,,,,,,,,19,,1.0,,1.0,0.0
GREBENNIKOV Jenia,,,,,,,,,,,,,,,,13.0,1.0,13.0,27.0,48.15,2.0,,3.0,5.0,0.4, 2,6.0,5.0,5.0,16.0,1.2
,total,16.0,88.0,106.0,0.4,16.0,45.0,25.0,86.0,3.2,65.0,14.0,41.0,120.0,42.5,46.0,2.0,38.0,86.0,53.49,62.0,,51.0,113.0,12.4,ls,26.0,23.0,10.0,59.0,5.2
