Name,SVP,SVE,SVI,SVA,SV/S,BP,BE,BI,BA,BP/S,AP,AE,AI,AA,AEff%,Rx,RE,RI,RA,RSucc%,STx,STE,STI,STA,STx/S,No.,Dx,DE,DI,DA,Dx/S
KADHI Ahmed,,4.0,11.0,15.0,0.0,4.0,9.0,4.0,17.0,0.8,8.0,2.0,7.0,17.0,,,1.0,,1.0,,1.0,,,1.0,0.2,2,,,,,
BEN SLIMENE Khaled,,3.0,13.0,16.0,0.0,1.0,6.0,7.0,14.0,0.2,2.0,,,2.0,,,,,,,47.0,,44.0,91.0,9.4, 3,2.0,1.0,1.0,4.0,0.4
BEN OTHMEN MILADI Mohamed Ali,,,11.0,11.0,0.0,2.0,3.0,3.0,8.0,0.4,11.0,2.0,7.0,20.0,45.0,20.0,,9.0,29.0,68.97,1.0,1.0,,2.0,0.2, 6,4.0,3.0,1.0,8.0,0.8
KARAMOSLI Elyes,,1.0,1.0,2.0,0.0,,,,,,1.0,,,1.0,,,,,,,,,,,, 7,1.0,,,1.0,0.2
AGREBI Omar,,,4.0,4.0,0.0,1.0,3.0,,4.0,0.2,2.0,1.0,2.0,5.0,,1.0,,,1.0,,,,,,, 9,,1.0,,1.0,0.0
NAGGA Hamza,,,,,,,,,,,,,,,,,,,,,,,,,,10,,,,,
MOALLA Ismail,,3.0,15.0,18.0,0.0,,7.0,1.0,8.0,0.0,8.0,6.0,4.0,18.0,11.11,19.0,1.0,11.0,31.0,61.29,1.0,,,1.0,0.2,11,3.0,5.0,2.0,10.0,0.6
BEN CHEIKH Mehdi,,,3.0,3.0,0.0,,,,,,,,,,,,,,,,3.0,,3.0,6.0,0.6,12,,1.0,,1.0,0.0
MBAREKI Selim,,2.0,10.0,12.0,0.0,,4.0,4.0,8.0,0.0,5.0,1.0,2.0,8.0,,1.0,,1.0,2.0,,,,1.0,1.0,0.0,13,,1.0,,1.0,0.0
BEN TARA Wassim,,2.0,12.0,14.0,0.0,1.0,9.0,5.0,15.0,0.2,20.0,6.0,14.0,40.0,35.0,2.0,,2.0,4.0,,,,1.0,1.0,0.0,15,2.0,5.0,1.0,8.0,0.4
BOUGUERRA Aymen,,,1.0,1.0,0.0,,2.0,1.0,3.0,0.0,3.0,1.0,,4.0,,,1.0,,1.0,,,,,,,19,,,,,
HMISSI Saddem,,,,,,,,,,,,,,,,17.0,,5.0,22.0,,4.0,,5.0,9.0,0.8,20,11.0,11.0,4.0,26.0,2.2
,total,15.0,81.0,96.0,0.0,9.0,43.0,25.0,77.0,1.8,60.0,19.0,36.0,115.0,35.65,60.0,3.0,28.0,91.0,65.93,57.0,1.0,54.0,112.0,11.4,ls,23.0,28.0,9.0,60.0,4.6
