Avg.Rk No.,Name,Points,Errors,In-Play,Total Attempts,by Set
 7,CONTE Facundo,1.0,5,10,16,0.2
12,LIMA Bruno,1.0,5,5,11,0.2
15,de CECCO Luciano,, 3,20,23,0.0
11,SOLE Sebastian,, 1,19,20,0.0
 8,LOSER Agustin,, 2,13,15,0.0
13,PALACIOS Ezequiel,, 4,7,11,0.0
 1,SANCHEZ Matias,,, 4,4,0.0
 6,POGLAJEN Cristian,, 1,2,3,0.0
 2,PEREYRA Federico,, 1,, 1,0.0
9,DANANI Santiago,,,, ,
17,MENDEZ Nicolas,,,, ,
18,RAMOS Martin,,,, ,
ls,,2.0,22,80,104,0.4
