Name,Points,Errors,In-Play,Total Attempts,by Set,Set,Effort,Country
ANDERSON Matthew,1.0,6.0,12.0,19.0,0.06,18,0.42,USA
CHRISTENSON Micah,5.0,16.0,13.0,34.0,0.28,18,0.73,USA
DEFALCO Torey,7.0,10.0,12.0,29.0,0.39,18,0.78,USA
ENSING Kyle,0.0,0.0,0.0,0.0,0.0,18,0.0,USA
HOLT Maxwell,8.0,21.0,27.0,56.0,0.44,18,1.31,USA
JAESCHKE Thomas,1.0,0.0,0.0,1.0,0.06,18,0.06,USA
MUAGUTUTIA Garrett,0.0,0.0,2.0,2.0,0.0,18,0.06,USA
SANDER Taylor,6.0,11.0,6.0,23.0,0.33,18,0.56,USA
SHOJI Erik,0.0,0.0,1.0,1.0,0.0,18,0.03,USA
SHOJI Kawika,0.0,0.0,0.0,0.0,0.0,18,0.0,USA
SMITH David,2.0,7.0,13.0,22.0,0.11,18,0.51,USA
STAHL Mitchell,4.0,14.0,9.0,27.0,0.22,18,0.55,USA
