No.,Name,Points,Errors,In-Play,Attempts,%
10,KIM Yeon Koung,8.0,2,9,19,31.58
4,KIM Heejin,5.0,5,7,17,
16,JEONG Jiyun,3.0,2,7,12,
19,PYO Seungju,5.0,2,4,11,
1,LEE Soyoung,1.0,1,4,6,
11,KIM Su Ji,4.0,, 1,5,
14,YANG Hyo Jin,3.0,1,1,5,
8,PARK Eunjin,1.0,2,1,4,
7,AN Hyejin,1.0,, 1,2,
3,YEUM Hye Seon,,, 1,1,
13,PARK Jeongah,,, 1,1,
9,OH Jiyoung,,,, ,
ls,,31.0,15,37,83,19.28
