No.,Name,Points,Errors,In-Play,Attempts,%
16,MERCADO Erika,11.0,4,13,28,25.0
 4,BULAICH SIMIAN Daniela,7.0,6,18,31,3.23
3,NIZETICH Paula Yamila,8.0,10,11,29,
17,HERRERA RODRIGUEZ Candelaria Lucia,4.0,, 7,11,
13,FARRIOL Bianca,, 1,3,4,
6,NOSACH Eugenia,2.0,, 1,3,
11,LAZCANO Julieta Constanza,1.0,, 2,3,
14,MAYER Victoria,,, 1,1,
1,RODRIGUEZ Elina Maria,,,, ,
2,GERMANIER Sabrina Soledad,,,, ,
12,RIZZO Tatiana Soledad,,,, ,
15,FORTUNA Antonela,,,, ,
ls,,33.0,21,56,110,10.91
