No.,Name,Points,Errors,In-Play,Attempts,%
12,THOMPSON Jordan,28.0,7,15,50,42.0
14,BARTSCHHACKLEY Michelle,15.0,9,6,30,20.0
10,LARSON Jordan,11.0,6,12,29,17.24
22,WASHINGTON Haleigh,3.0,4,4,11,
16,AKINRADEWO Foluke,1.0,4,5,10,
2,POULTER Jordyn,, 1,1,2,
1,HANCOCK Micha,,,, ,
4,WONGORANTES Justine,,,, ,
11,DREWS Andrea,,,, ,
15,HILL Kimberly,,,, ,
23,ROBINSON Kelsey,,,, ,
24,OGBOGU Chiaka,,,, ,
ls,,58.0,31,43,132,20.45
