No.,Name,Excellents,Errors,In-Play,Total Attempts,by Set
12,RIZZO Tatiana Soledad,12,4.0,1,17,4.0
 3,NIZETICH Paula Yamila,5,8.0,, 13,1.67
14,MAYER Victoria,5,4.0,, 9,1.67
 4,BULAICH SIMIAN Daniela,4,2.0,1,7,1.33
 1,RODRIGUEZ Elina Maria,4,1.0,, 5,1.33
16,MERCADO Erika,3,3.0,1,7,1.0
11,LAZCANO Julieta Constanza,2,2.0,, 4,0.67
13,FARRIOL Bianca,2,,, 2,0.67
15,FORTUNA Antonela,,1.0,, 1,0.0
2,GERMANIER Sabrina Soledad,,,, ,
6,NOSACH Eugenia,,,, ,
17,HERRERA RODRIGUEZ Candelaria Lucia,,,, ,
ls,,37,25.0,3,65,12.33
