No.,Name,Excellents,Errors,In-Play,Total Attempts,by Set
12,MOMII Aki,51,, 79,130,10.2
 6,KOBATA Mako,5,, 9,14,1.0
 1,KUROGO Ai,2,, 4,6,0.4
 3,TASHIRO Kanami,1,, 10,11,0.2
 4,ISHIKAWA Mayu,1,, 5,6,0.2
15,HAYASHI Kotona,1,, 3,4,0.2
 5,SHIMAMURA Haruyo,1,,, 1,0.2
11,ARAKI Erika,1,,, 1,0.2
 2,KOGA Sarina,,, 4,4,0.0
8,ISHII Yuki,,,, ,
9,OKUMURA Mai,,,, ,
19,YAMADA Nichika,,,, ,
ls,,63,,114,177,12.6
