No.,Name,Points,Errors,In-Play,Attempts,%
 5,KIPRONO Sharon Chepchumba,8.0,2,12,22,27.27
14,MOIM Mercy,3.0,2,6,11,9.09
4,KASAYA Leonida,5.0,4,1,10,
18,CHEMTAI Emmaculate,, 2,4,6,
19,MUKUVILANI Edith,2.0,, 3,5,
12,EMANIMAN Gladys Ekaru,1.0,2,2,5,
15,JEPKIRUI Pamela,1.0,2,2,5,
1,WAIRIMU Jane Wacu,1.0,1,2,4,
8,LUSENAKA Joy,,, 1,1,
13,KAEI Lorine Chebet,1.0,,, 1,
10,MURAMBI Noel,,,, ,
16,KUNDU Agripina Khayesi,,,, ,
ls,,22.0,15,33,70,10.0
