No.,Name,Excellents,Errors,In-Play,Attempts,%
19,MILENKOVIC Bojana,29,1.0,9,39,74.36
20,BLAGOJEVIC Jelena,4,, 6,10,
17,POPOVIC Silvija,6,,, 6,
1,BUSA Bianka,3,,, 3,
10,OGNJENOVIC Maja,,1.0,, 1,
5,POPOVIC Mina,,,, ,
8,MIRKOVIC Sladjana,,,, ,
9,MIHAJLOVIC Brankica,,,, ,
13,BJELICA Ana,,,, ,
14,ALEKSIC Maja,,,, ,
16,RASIC Milena,,,, ,
18,BOSKOVIC Tijana,,,, ,
ls,,42,2.0,15,59,71.19
