No.,Name,Points,Errors,In-Play,Total Attempts,by Set
19,MUKUVILANI Edith,1.0,, 9,10,0.33
14,MOIM Mercy,,- 1,10,11,0.0
13,KAEI Lorine Chebet,,-, 9,9,0.0
 4,KASAYA Leonida,,-, 8,8,0.0
 1,WAIRIMU Jane Wacu,,-, 7,7,0.0
 5,KIPRONO Sharon Chepchumba,,- 3,3,6,0.0
 8,LUSENAKA Joy,,-, 1,1,0.0
12,EMANIMAN Gladys Ekaru,,-, 1,1,0.0
10,MURAMBI Noel,,-,, ,
15,JEPKIRUI Pamela,,-,, ,
16,KUNDU Agripina Khayesi,,-,, ,
18,CHEMTAI Emmaculate,,-,, ,
ls,,1.0,4,48,53,0.33
