No.,Name,Points,Errors,In-Play,Attempts,%
18,BOSKOVIC Tijana,31.0,6,12,49,51.02
16,RASIC Milena,7.0,, 6,13,
20,BLAGOJEVIC Jelena,4.0,1,7,12,
19,MILENKOVIC Bojana,2.0,3,5,10,
5,POPOVIC Mina,4.0,1,4,9,
10,OGNJENOVIC Maja,2.0,1,1,4,
1,BUSA Bianka,, 1,1,2,
8,MIRKOVIC Sladjana,,,, ,
9,MIHAJLOVIC Brankica,,,, ,
13,BJELICA Ana,,,, ,
14,ALEKSIC Maja,,,, ,
17,POPOVIC Silvija,,,, ,
ls,,50.0,13,36,99,37.37
