No.,Name,Excellents,Errors,In-Play,Total Attempts,by Set
19,PODKOPAEVA Anna,21,10.0,7,38,4.2
16,VORONKOVA Irina,15,13.0,6,34,3.0
13,STARTSEVA Evgeniya,9,2.0,4,15,1.8
10,FEDOROVTSEVA Arina,8,6.0,2,16,1.6
 8,GONCHAROVA Nataliya,8,3.0,2,13,1.6
14,FETISOVA Irina,5,1.0,3,9,1.0
 6,KOROLEVA Irina,2,2.0,, 4,0.4
12,LAZAREVA Anna,1,, 1,2,0.2
 4,PILIPENKO Daria,,, 1,1,0.0
5,MATVEEVA Polina,,,, ,
25,SMIRNOVA Kseniia,,,, ,
26,ENINA Ekaterina,,,, ,
ls,,69,37.0,26,132,13.8
