No.,Name,Points,Errors,In-Play,Total Attempts,by Set
14,MOIM Mercy,, 2,14,16,0.0
 1,WAIRIMU Jane Wacu,,, 8,8,0.0
19,MUKUVILANI Edith,,, 7,7,0.0
 4,KASAYA Leonida,, 2,5,7,0.0
 5,KIPRONO Sharon Chepchumba,, 2,5,7,0.0
13,KAEI Lorine Chebet,, 3,2,5,0.0
12,EMANIMAN Gladys Ekaru,, 1,1,2,0.0
8,LUSENAKA Joy,,,, ,
10,MURAMBI Noel,,,, ,
15,JEPKIRUI Pamela,,,, ,
16,KUNDU Agripina Khayesi,,,, ,
18,CHEMTAI Emmaculate,,,, ,
ls,,,10,42,52,0.0
