No.,Name,Points,Errors,In-Play,Total Attempts,by Set
16,RASIC Milena,3.0,5,3,11,1.0
18,BOSKOVIC Tijana,3.0,2,5,10,1.0
 5,POPOVIC Mina,2.0,7,4,13,0.67
19,MILENKOVIC Bojana,2.0,4,3,9,0.67
10,OGNJENOVIC Maja,, 2,3,5,0.0
 1,BUSA Bianka,, 2,1,3,0.0
8,MIRKOVIC Sladjana,,,, ,
9,MIHAJLOVIC Brankica,,,, ,
13,BJELICA Ana,,,, ,
14,ALEKSIC Maja,,,, ,
17,POPOVIC Silvija,,,, ,
20,BLAGOJEVIC Jelena,,,, ,
ls,,10.0,22,19,51,3.33
