No.,Name,Points,Errors,In-Play,Total Attempts,by Set
14,BARTSCHHACKLEY Michelle,2.0,1,20,23,0.4
10,LARSON Jordan,1.0,, 17,18,0.2
15,HILL Kimberly,1.0,, 3,4,0.2
16,AKINRADEWO Foluke,, 2,17,19,0.0
11,DREWS Andrea,, 4,14,18,0.0
22,WASHINGTON Haleigh,,, 17,17,0.0
 1,HANCOCK Micha,, 2,4,6,0.0
 2,POULTER Jordyn,,, 5,5,0.0
4,WONGORANTES Justine,,,, ,
23,ROBINSON Kelsey,,,, ,
24,OGBOGU Chiaka,,,, ,
ls,,4.0,9,97,110,0.8
