No.,Name,Excellents,Errors,In-Play,Total Attempts,by Set
10,KIM Yeon Koung,4,6.0,6,16,1.33
 9,OH Jiyoung,4,8.0,1,13,1.33
13,PARK Jeongah,3,7.0,3,13,1.0
 7,AN Hyejin,3,1.0,2,6,1.0
 3,YEUM Hye Seon,3,1.0,1,5,1.0
 4,KIM Heejin,2,3.0,4,9,0.67
16,JEONG Jiyun,1,,, 1,0.33
14,YANG Hyo Jin,,, 1,1,0.0
 1,LEE Soyoung,,1.0,, 1,0.0
8,PARK Eunjin,,,, ,
11,KIM Su Ji,,,, ,
19,PYO Seungju,,,, ,
ls,,20,27.0,18,65,6.67
