No.,Name,Excellents,Errors,In-Play,Attempts,%
 9,BOSETTI Caterina Chiara,14,1.0,13,28,50.0
17,SYLLA Miryam Fatime,12,2.0,15,29,41.38
14,PIETRINI Elena,10,, 11,21,
6,de GENNARO Monica,10,, 3,13,
10,CHIRICHELLA Cristina,4,,, 4,
13,FAHR Sarah Luisa,1,1.0,2,4,
11,DANESI Anna,1,,, 1,
18,EGONU Paola Ogechi,1,,, 1,
1,SOROKAITE Indre,,,, ,
5,MALINOV Ofelia,,,, ,
7,FOLIE Raphaela,,,, ,
8,ORRO Alessia,,,, ,
ls,,53,4.0,44,101,52.48
