No.,Name,Excellents,Errors,In-Play,Attempts,%
 6,GONG Xiangyu,19,1.0,8,28,67.86
18,WANG Mengjie,11,1.0,5,17,64.71
12,LI Yingying,9,, 2,11,
9,ZHANG Changning,2,, 4,6,
2,ZHU Ting,2,2.0,1,5,
1,YUAN Xinyue,,,, ,
7,WANG Yuanyuan,,,, ,
10,LIU Xiaotong,,,, ,
11,YAO Di,,,, ,
16,DING Xia,,,, ,
17,YAN Ni,,,, ,
19,LIU Yanhan,,,, ,
ls,,43,4.0,20,67,64.18
