No.,Name,Points,Errors,In-Play,Attempts,%
10,KIM Yeon Koung,26.0,8,19,53,33.96
13,PARK Jeongah,15.0,6,19,40,22.5
 4,KIM Heejin,6.0,3,20,29,10.34
14,YANG Hyo Jin,5.0,3,4,12,
1,LEE Soyoung,2.0,4,2,8,
11,KIM Su Ji,1.0,3,3,7,
16,JEONG Jiyun,4.0,1,, 5,
7,AN Hyejin,2.0,, 1,3,
8,PARK Eunjin,2.0,, 1,3,
3,YEUM Hye Seon,,, 2,2,
9,OH Jiyoung,,,, ,
19,PYO Seungju,,,, ,
ls,,63.0,28,71,162,21.6
