No.,Name,Points,Errors,In-Play,Total Attempts,by Set
14,YANG Hyo Jin,2.0,2,5,9,0.67
11,KIM Su Ji,1.0,3,, 4,0.33
 4,KIM Heejin,,, 4,4,0.0
 8,PARK Eunjin,, 1,3,4,0.0
13,PARK Jeongah,, 2,2,4,0.0
 1,LEE Soyoung,, 1,2,3,0.0
 3,YEUM Hye Seon,,, 1,1,0.0
10,KIM Yeon Koung,,, 1,1,0.0
7,AN Hyejin,,,, ,
9,OH Jiyoung,,,, ,
16,JEONG Jiyun,,,, ,
19,PYO Seungju,,,, ,
ls,,3.0,9,18,30,1.0
