No.,Name,Points,Errors,In-Play,Attempts,%
 1,RODRIGUEZ Elina Maria,5.0,2,7,14,21.43
 4,BULAICH SIMIAN Daniela,6.0,3,8,17,17.65
 3,NIZETICH Paula Yamila,7.0,4,9,20,15.0
16,MERCADO Erika,6.0,8,10,24,
11,LAZCANO Julieta Constanza,3.0,1,3,7,
14,MAYER Victoria,1.0,, 3,4,
13,FARRIOL Bianca,,, 3,3,
17,HERRERA RODRIGUEZ Candelaria Lucia,,, 3,3,
6,NOSACH Eugenia,,, 1,1,
2,GERMANIER Sabrina Soledad,,,, ,
12,RIZZO Tatiana Soledad,,,, ,
15,FORTUNA Antonela,,,, ,
ls,,28.0,18,47,93,10.75
