No.,Name,Points,Errors,In-Play,Attempts,%
13,BOZ Meryem,17.0,5,17,39,30.77
 7,BALADIN Hande,13.0,5,14,32,25.0
18,GUNES Zehra,7.0,6,9,22,
14,ERDEM DUNDAR Eda,10.0,2,4,16,
99,KARAKURT Ebrar,4.0,4,7,15,
5,ERCAN Seyma,2.0,3,3,8,
9,ISMAILOGLU Meliha,2.0,1,3,6,
11,AYDEMIR AKYOL Naz,3.0,, 1,4,
4,SENOGLU Tugba,, 3,, 3,
2,AKOZ Simge Sebnem,1.0,,, 1,
3,OZBAY Cansu,, 1,, 1,
6,CALISKAN Kubra,,,, ,
ls,,59.0,30,58,147,19.73
