No.,Name,Points,Errors,In-Play,Attempts,%
18,EGONU Paola Ogechi,27.0,15,20,62,19.35
9,BOSETTI Caterina Chiara,10.0,10,14,34,
14,PIETRINI Elena,6.0,5,9,20,
17,SYLLA Miryam Fatime,6.0,1,5,12,
10,CHIRICHELLA Cristina,3.0,2,1,6,
11,DANESI Anna,3.0,, 2,5,
13,FAHR Sarah Luisa,4.0,, 1,5,
5,MALINOV Ofelia,1.0,, 1,2,
1,SOROKAITE Indre,,,, ,
6,de GENNARO Monica,,,, ,
7,FOLIE Raphaela,,,, ,
8,ORRO Alessia,,,, ,
ls,,60.0,33,53,146,18.49
