No.,Name,Points,Errors,In-Play,Attempts,%
11,DREWS Andrea,21.0,2,13,36,52.78
14,BARTSCHHACKLEY Michelle,12.0,5,22,39,17.95
10,LARSON Jordan,5.0,, 8,13,
22,WASHINGTON Haleigh,7.0,1,5,13,
16,AKINRADEWO Foluke,2.0,1,1,4,
1,HANCOCK Micha,1.0,1,, 2,
2,POULTER Jordyn,,,, ,
4,WONGORANTES Justine,,,, ,
12,THOMPSON Jordan,,,, ,
15,HILL Kimberly,,,, ,
23,ROBINSON Kelsey,,,, ,
24,OGBOGU Chiaka,,,, ,
ls,,48.0,10,49,107,35.51
