No.,Name,Excellents,Errors,In-Play,Attempts,%
14,MOIM Mercy,13,3.0,4,20,65.0
16,KUNDU Agripina Khayesi,9,2.0,19,30,30.0
4,KASAYA Leonida,3,2.0,5,10,
10,MURAMBI Noel,,1.0,1,2,
12,EMANIMAN Gladys Ekaru,,, 1,1,
13,KAEI Lorine Chebet,1,,, 1,
19,MUKUVILANI Edith,,, 1,1,
1,WAIRIMU Jane Wacu,,,, ,
5,KIPRONO Sharon Chepchumba,,,, ,
8,LUSENAKA Joy,,,, ,
15,JEPKIRUI Pamela,,,, ,
18,CHEMTAI Emmaculate,,,, ,
ls,,26,8.0,31,65,40.0
