No.,Name,Points,Errors,In-Play,Attempts,%
 1,KUROGO Ai,9.0,5,12,26,15.38
 4,ISHIKAWA Mayu,13.0,9,8,30,13.33
 8,ISHII Yuki,8.0,7,4,19,5.26
11,ARAKI Erika,3.0,2,8,13,
5,SHIMAMURA Haruyo,4.0,, 4,8,
15,HAYASHI Kotona,5.0,, 3,8,
12,MOMII Aki,1.0,, 1,2,
3,TASHIRO Kanami,1.0,,, 1,
6,KOBATA Mako,,,, ,
9,OKUMURA Mai,,,, ,
19,YAMADA Nichika,,,, ,
ls,,44.0,23,40,107,19.63
