No.,Name,Excellents,Errors,In-Play,Total Attempts,by Set
10,FEDOROVTSEVA Arina,10,4.0,4,18,2.5
19,PODKOPAEVA Anna,9,5.0,7,21,2.25
16,VORONKOVA Irina,6,5.0,2,13,1.5
 8,GONCHAROVA Nataliya,6,4.0,, 10,1.5
26,ENINA Ekaterina,4,2.0,2,8,1.0
14,FETISOVA Irina,2,, 2,4,0.5
13,STARTSEVA Evgeniya,1,7.0,4,12,0.25
12,LAZAREVA Anna,1,1.0,, 2,0.25
 6,KOROLEVA Irina,,4.0,1,5,0.0
4,PILIPENKO Daria,,,, ,
5,MATVEEVA Polina,,,, ,
25,SMIRNOVA Kseniia,,,, ,
ls,,39,32.0,22,93,9.75
