No.,Name,Excellents,Errors,In-Play,Total Attempts,by Set
 1,HANCOCK Micha,37,1.0,50,88,12.33
 4,WONGORANTES Justine,2,, 3,5,0.67
10,LARSON Jordan,2,, 2,4,0.67
14,BARTSCHHACKLEY Michelle,1,,, 1,0.33
16,AKINRADEWO Foluke,1,,, 1,0.33
22,WASHINGTON Haleigh,,, 1,1,0.0
2,POULTER Jordyn,,,, ,
11,DREWS Andrea,,,, ,
12,THOMPSON Jordan,,,, ,
15,HILL Kimberly,,,, ,
23,ROBINSON Kelsey,,,, ,
24,OGBOGU Chiaka,,,, ,
ls,,43,1.0,56,100,14.33
