No.,Name,Excellents,Errors,In-Play,Total Attempts,by Set
16,KUNDU Agripina Khayesi,7,8.0,5,20,2.33
 1,WAIRIMU Jane Wacu,5,5.0,4,14,1.67
14,MOIM Mercy,4,4.0,1,9,1.33
 5,KIPRONO Sharon Chepchumba,2,7.0,3,12,0.67
13,KAEI Lorine Chebet,1,2.0,2,5,0.33
 4,KASAYA Leonida,1,2.0,1,4,0.33
10,MURAMBI Noel,1,1.0,, 2,0.33
12,EMANIMAN Gladys Ekaru,1,1.0,, 2,0.33
19,MUKUVILANI Edith,1,1.0,, 2,0.33
8,LUSENAKA Joy,,,, ,
15,JEPKIRUI Pamela,,,, ,
18,CHEMTAI Emmaculate,,,, ,
ls,,23,31.0,16,70,7.67
